Original Abbreviation/Name,Full Name,Ontology link
premature_born,premature birth,http://www.ebi.ac.uk/efo/EFO_0003917
periodontitis,periodontitis,http://www.ebi.ac.uk/efo/EFO_0000649
SRP,,
STH,Somatotropin,http://purl.obolibrary.org/obo/NCIT_C2288
BD,Behcet's syndrome,http://www.ebi.ac.uk/efo/EFO_0003780
chorioamnionitis,chorioamnionitis,http://www.ebi.ac.uk/efo/EFO_0009948
pre-eclampsia,preeclampsia,http://www.ebi.ac.uk/efo/EFO_0000668
carcinoma_surgery_history,,
healthy,healthy,http://purl.obolibrary.org/obo/NCIT_C115935
hepatitis,hepatitis,http://purl.obolibrary.org/obo/NCIT_C3095
hypercholesterolemia,hypercholesterolemia,http://purl.obolibrary.org/obo/NCIT_C37967
ascaris_lumbricoides,ascaris lumbricoides,http://purl.obolibrary.org/obo/NCIT_C122177
necator_americanus,necator americanus,http://purl.obolibrary.org/obo/NCIT_C123524
trichuris_trichiura,trichuris trichiura,http://purl.obolibrary.org/obo/NCIT_C125973
metastases,,
CD,Crohn's disease,http://www.ebi.ac.uk/efo/EFO_0000384
UC,Ulcerative Colitis,http://purl.obolibrary.org/obo/NCIT_C2952
smalladenoma,Small intestinal adenoma,http://purl.obolibrary.org/obo/NCIT_C5340
largeadenoma,large intestinal adenoma,http://purl.obolibrary.org/obo/DOID_0050914
advancedadenoma,,
adenocarcinoma,adenocarcinoma,http://purl.obolibrary.org/obo/NCIT_C2852
carcinoma,carcinoma,http://purl.obolibrary.org/obo/NCIT_C2916
AS,Ankylosing spondylitis,http://purl.obolibrary.org/obo/NCIT_C84564
cholera,cholera,http://purl.obolibrary.org/obo/NCIT_C157812
T1D_nonconverter,,
T1D_seroconverter,,
NAFLD,Non alcoholic fatty liver disease,http://purl.obolibrary.org/obo/DOID_0080208
Indeterminate_colitis,Indeterminate colitis,http://www.ebi.ac.uk/efo/EFO_1000034
