col.name,Ontology link,Ontology,uniqueness,requiredness,multiplevalues,allowedvalues,description
ever_smoker,http://scdontology.h3abionet.org/ontology/SCDO_1000326,Sickle Cell Disease Ontology,non-unique,optional,FALSE,yes|no,Ever been a smoker.
alcohol,http://purl.obolibrary.org/obo/NCIT_C81229,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Subject is reported as a drinker.
mumps,http://purl.obolibrary.org/obo/NCIT_C29888,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Subject has been through mumps in life.
ajcc,http://purl.obolibrary.org/obo/NCIT_C90506,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,0|i|ii|iii|iv,AJCC staging for colorectal-cancer.
fobt,http://purl.obolibrary.org/obo/NCIT_C18014,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Fecal occult blood test.
tnm,,,non-unique,optional,FALSE,t4n1m1|t3nxm1|t2n0m1|tnm|t2n1m1|t4n2m1|t3n0m1|t3n2m0|t4n0m1|t4n1m0|no|t4n0m0|t3n0m0|t3n1m0|ptis|t1n0m0|t4n2m0|t3n1m1|t3n2m1|tisn0m0|t2n0m0|t1n0m1|t2n1m0|t2m0n0|t2n2m0,TNM classification for colorectal-cancer.
days_after_onset,http://purl.obolibrary.org/obo/HP_0003674,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+,Days from the onset of the disease.
stec_count,,,non-unique,optional,FALSE,high|low|moderate,Amount of STEC colonies detected.
shigatoxin_2_elisa,,,non-unique,optional,FALSE,positive|negative,Enzyme-linked immunosorbent assay for Shiga-toxigenic E.coli.
stool_texture,http://purl.obolibrary.org/obo/NCIT_C87128,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,smooth|watery|bloody,Texture of the stool at sampling time.
insulin_cat,,,non-unique,optional,FALSE,yes|no,Insulin intake (yes/no)
inr,http://purl.obolibrary.org/obo/NCIT_C25352,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,International normalized ratio.
protein_intake,http://www.ebi.ac.uk/efo/EFO_0010810,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Indication about the protein intake in the Mongolians diet.
flg_genotype,,,non-unique,optional,FALSE,wt|s1515x|e2422x|e2422x/3321dela,Any term for filaggrin-protein genotype.
hitchip_probe_class,,,non-unique,optional,FALSE,lpc|hpc,High/Low species content onthe HIT-chip probe.
hitchip_probe_number,,,non-unique,optional,FALSE,[0-9]+,HIT-chip probe score.
mgs_richness,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Metagenomic species richness.
hla_drb12,,,non-unique,optional,FALSE,[0-9]+,Hla_drb12 allele.
hla_dqa12,,,non-unique,optional,FALSE,[0-9]+,Hla_dqa12 allele.
hla_dqa11,,,non-unique,optional,FALSE,[0-9]+,Hla_dqa11 allele.
hla_drb11,,,non-unique,optional,FALSE,[0-9]+,Hla_drb11 allele.
hla_dbq12,,,non-unique,optional,FALSE,[0-9]+,Hla_dbq12 allele.
hla_dbq11,,,non-unique,optional,FALSE,[0-9]+,Hla_dbq11 allele.
ctp,http://purl.obolibrary.org/obo/NCIT_C126896,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+,Cytidine triphosphate level.
start_solidfood,http://purl.obolibrary.org/obo/FOODON_03510191,Food Ontology,non-unique,optional,FALSE,[0-9]+,First day of solid food introduction (newborns).
triglycerides,http://purl.obolibrary.org/obo/NCIT_C906,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use mg/dl.
cholesterol,http://purl.obolibrary.org/obo/CHEBI_16113,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use mg/dl.
hdl,http://purl.obolibrary.org/obo/CHEBI_47775,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use mg/dl.
ldl,http://www.ebi.ac.uk/efo/EFO_0004195,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use mg/dl.
adiponectin,http://purl.obolibrary.org/obo/NCIT_C94786,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use mg/l.
fasting_insulin,http://www.ebi.ac.uk/efo/EFO_0004466,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use micro-units/ml.
hba1c,http://www.ebi.ac.uk/efo/EFO_0007629,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use %.
c_peptide,http://www.ebi.ac.uk/efo/EFO_0005187,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use ng/ml.
glp_1,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use pmol/l.
cd163,http://purl.obolibrary.org/obo/OMIT_0037362 or http://www.ebi.ac.uk/efo/EFO_0008531,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use ng/ml.
il_1,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use pg/ml.
leptin,http://purl.obolibrary.org/obo/NCIT_C46081,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use micrograms/l.
glucose,http://purl.obolibrary.org/obo/NCIT_C2831,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use mg/dl.
fgf_19,http://purl.obolibrary.org/obo/NCIT_C154727,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use pg/ml.
glutamate_decarboxylase_2_antibody,http://purl.obolibrary.org/obo/PR_000007786,PRotein Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Glutamic acid decarboxylase (GAD65) antibody assay.
creatinine,http://purl.obolibrary.org/obo/NCIT_C399,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use micro-mol/l.
creatine,http://purl.obolibrary.org/obo/NCIT_C37937,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use micro-mol/l.
albumin,http://purl.obolibrary.org/obo/NCIT_C214,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Albumine level; curators must use g/l.
bilubirin,http://purl.obolibrary.org/obo/NCIT_C305,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Bilubirin; curators must use mg/dl.
prothrombin_time,http://purl.obolibrary.org/obo/NCIT_C62656,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Prothrombin time in seconds.
dyastolic_p,http://purl.obolibrary.org/obo/NCIT_C25299,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Measured in mm/Hg.
systolic_p,http://purl.obolibrary.org/obo/NCIT_C25298,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Measured in mm/Hg.
hscrp,http://purl.obolibrary.org/obo/NCIT_C157114,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,High-sensitivity C-reactive protein test result;curator have to use mg/L
ferm_milk_prod_consumer,,,non-unique,optional,FALSE,dfmp,Dfmp means yes (defined milk product).
family,http://purl.obolibrary.org/obo/NCIT_C45290,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,.+,A number identifying the family subjects belong; not corrected for meta-analyses.
family_role,,,non-unique,optional,FALSE,child|mother|father,Role in the family when multiple samples come from the same family but different persons.
born_method,http://purl.obolibrary.org/obo/NCIT_C81179,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,c_section|vaginal,C-section vs vaginal birth.
premature,http://purl.obolibrary.org/obo/NCIT_C92861,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,If premature at birth.
birth_order,http://purl.obolibrary.org/obo/NCIT_C93517,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+,Can be used for multiple birth.
age_twins_started_to_live_apart,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Age at which twins started to live apart (years).
feeding_practice,,,non-unique,optional,FALSE,exclusively_breastfeeding|no_breastfeeding||mixed_feeding|any_breastfeeding|exclusively_formula_feeding,Feeding practice.
breastfeeding_duration,http://www.ebi.ac.uk/efo/EFO_0006864,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+,curator must use days
formula_first_day,,,non-unique,optional,FALSE,[0-9]+,the age infants get the first formula feeding in days
ESR,http://purl.obolibrary.org/obo/NCIT_C74611,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Erythrocyte sedimentation rate (ESR) in mm/H.
HLA,http://purl.obolibrary.org/obo/NCIT_C62792,NCI Thesaurus OBO Edition,non-unique,optional,TRUE,.+,HLA DR-DQ alleles conferring risk of Typ-1-Diabetes (T1D)
autoantibody_positive,http://purl.obolibrary.org/obo/OAE_0000689,Ontology of Aadverse Events,non-unique,optional,TRUE,.+,Tested positive for AAB.
age_seroconversion,http://www.ebi.ac.uk/efo/EFO_0007851,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Age at seroconvention was detected (days).
age_T1D_diagnosis,http://purl.obolibrary.org/obo/CMO_0001140,Clinical Measurement Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Age at which T1D was diagnosed (days).
disease_stage,http://purl.obolibrary.org/obo/OBI_0000278,Ontology for Biomedical Investigations,non-unique,optional,FALSE,[0-9]+,Stage information for diseases that can be divided into multiple stages.
disease_location,http://purl.obolibrary.org/obo/NCIT_C117884,NCI Thesaurus OBO Edition,non-unique,optional,TRUE,.+,Can be used for diseases which occur on different body parts like CD.
calprotectin,http://purl.obolibrary.org/obo/NCIT_C105971,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Higher calprotectin is an indicator for inflammation in the gastrointestinal tract.
treatment,http://www.ebi.ac.uk/efo/EFO_0000727,NCI Thesaurus OBO Edition,non-unique,optional,TRUE,no|EEN|5-ASA|aza|modulen_suppl|iron|folate|forceval|methotrexate|Lactulose|probiotic|NSAID|anthelmintics|albendazole,medications or treatments against the diseases.
remission,http://www.ebi.ac.uk/efo/EFO_0009785,Experimental Factor Ontology,non-unique,optional,FALSE,no|yes,Remission of the disease.
wbc,http://www.ebi.ac.uk/efo/EFO_0004308,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,White blood cells count; curators must use *1000counts/µL
rbc,http://www.ebi.ac.uk/efo/EFO_0004305,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Red blood cells count; curators must use *million_counts/µL
blood_platelet,http://purl.obolibrary.org/obo/CL_0000233,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curators must use *1000counts/µl
hemoglobinometry,http://purl.obolibrary.org/obo/OMIT_0007621,Ontology for MIRNA Targer,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Hemoglobin concentration in blood; curators must use g/dl
ast,http://purl.obolibrary.org/obo/NCIT_C25202,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Aspartate transaminase; curator must use U/l
alt,http://purl.obolibrary.org/obo/NCIT_C64433,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Alanine aminotransferase; curator must use U/l
globulin,http://purl.obolibrary.org/obo/OMIT_0007109,Ontology for MIRNA Targer,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curator must use g/l
urea nitrogen,http://purl.obolibrary.org/obo/NCIT_C125949,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curator must use mmol/l
ASO,http://purl.obolibrary.org/obo/OMIT_0002383,Ontology for MIRNA Targer,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Antistreptolysin O; curator must use IU/ml
anti_ccp_antibody,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curator must use U/ml
rheumatoid_factor,http://purl.obolibrary.org/obo/NCIT_C805,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Curator must use IU/ml
dental_sample_type,,,non-unique,optional,FALSE,teeth,Dental sample type.
zigosity,http://purl.obolibrary.org/obo/NCIT_C73427,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,monozygotic|dizygotic,Zigosity.
menopausal_status,http://purl.obolibrary.org/obo/NCIT_C106541,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,pre|going_through|post,Menopausal status.
BASDAI,http://purl.obolibrary.org/obo/NCIT_C121355,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Bath Ankylosing Spondylitis Disease Activity Index
BASFI,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Bath Ankylosing Spondylitis Functional Index
HBI,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Harvey-Bradshaw Index clinical indication of active disease and inflammation
SCCAI,,,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,simple clinical colitis activity index
birth_weight,http://www.ebi.ac.uk/efo/EFO_0004344,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,curators must use gramms
gestational_age,http://www.ebi.ac.uk/efo/EFO_0005112,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,duration time of pregnancy;curatos must use weeks
diet,http://www.ebi.ac.uk/efo/EFO_0002755,Experimental Factor Ontology,non-unique,optional,FALSE,omnivore|vegan|vegetarian,type of diet
curator,http://www.ebi.ac.uk/efo/EFO_0001733,NCI Thesaurus OBO Edition,non-unique,required,TRUE,Paolo_Manghi|Valentina_Giunchiglia|Pamela_Ferretti|Marisa_Metzger|Giacomo_DAmato|Jacob_Wirbel|Arianna_Bonetti|Anna_Pedrotti|Francesca_DeFilippis,Curator name.
uncurated_metadata,,,non-unique,optional,FALSE,.+,
