DatasetName,Bioproject,StudyAccession,NextflowProfiling,ODMCuration,Version,Samples,Publication,PMID,Year,Species,Bodysite,HasInfants,Countries,Title
LiSS_2016,PRJEB12357,ERP013827,,,cMD3,55,https://doi.org/10.1126/science.aad8852,27126044,2016,,Stool,No,Netherlands,Durable coexistence of donor and recipient strains after fecal microbiota transplantation
LiuW_2016,PRJNA328899,SRP080787,,,cMD3,110,https://doi.org/10.1038/srep34826,27708392,2016,,Stool,No,Mongoly,Unique Features of Ethnic Mongolian Gut Microbiome revealed by metagenomic analysis
LokmerA_2019,PRJEB27005,ERP109040,,,cMD3,57,https://doi.org/10.1371/journal.pone.0211139,30726303,2019,,Stool,No,Cameroon,Use of shotgun metagenomics for the identification of protozoa in the gut microbiota of healthy individuals from worldwide populations with various industrialization levels
LomanNJ_2013,PRJEB1775,ERP001956,,,cMD3,42,https://doi.org/10.1001/jama.2013.3231,23571589,2013,,Stool,No,Germany,A culture-independent sequence-based metagenomics approach to the investigation of an outbreak of Shiga-toxigenic Escherichia coli O104:H4
LoombaR_2017,PRJNA373901,NA,,,cMD3,86,https://doi.org/10.1016/j.cmet.2017.04.001,28467925,2017,,Stool,No,USA,Gut Microbiome-Based Metagenomic Signature for Non-invasive Detection of Advanced Fibrosis in Human Nonalcoholic Fatty Liver Disease
LouisS_2016,PRJNA290729,SRP062282,,,cMD3,92,https://doi.org/10.1371/journal.pone.0149564,26919743,2016,,Stool,No,Germany,Characterization of the Gut Microbial Community of Obese Patients Following a Weight-Loss Intervention Using Whole Metagenome Shotgun Sequencing
MatsonV_2018,PRJNA399742,SRP116709,,,cMD3,39,https://doi.org/10.1126/science.aao3290,29302014,2018,,Stool,No,USA,The commensal microbiome is associated with anti-PD-1 efficacy in metastatic melanoma patients
MehtaRS_2018,PRJNA354235,SRP096283,,,cMD3,928,https://doi.org/10.1038/s41564-017-0096-0 ,29335554,2018,,Stool,No,USA,Stability of the human faecal microbiome in a cohort of adult men
NielsenHB_2014,PRJEB1220,NA,,,cMD3,396,https://doi.org/10.1038/nbt.2939,24997787,2014,,Stool,No,"Denmark, Spain",Identification and assembly of genomes and genetic elements in complex metagenomic samples without using reference genomes
Obregon-TitoAJ_2015,PRJNA268964,SRP052307,,,cMD3,58,https://doi.org/10.1038/ncomms7505,25807110,2015,,Stool,No,"Perù, USA",Subsistence strategies in traditional societies distinguish gut microbiomes
OhJ_2014,PRJNA46333,SRP002480,,,cMD3,291,https://doi.org/10.1038/nature13786,25279917,2014,,Stool,No,USA,Biogeography and individuality shape function in the human skin metagenome
OlmMR_2017,PRJNA327106,SRP077514,,,cMD3,45,https://doi.org/10.1101/gr.213256.116,28073918,2017,,"Stool, Skin, Oral",Yes,USA,"Identical bacterial populations colonize premature infant gut, skin, and oral microbiomes and exhibit different in situ growth rates"
PasolliE_2019,PRJNA485056,SRP156699,,,cMD3,112,https://doi.org/10.1016/j.cell.2019.01.001,30661755,2019,,Stool,No,Madagascar,"Extensive Unexplored Human Microbiome Diversity Revealed by Over 150,000 Genomes from Metagenomes Spanning Age, Geography, and Lifestyle"
PehrssonE_2016,PRJNA300541,SRP066479,,,cMD3,191,https://doi.org/10.1038/nature17672,27172044,2016,,Stool,No,"Perù, San-Salvador",Interconnected microbiomes and resistomes in low-income human habitats
QinJ_2012,PRJNA422434,SRP008047,,,cMD3,363,https://doi.org/10.1038/nature11450,23023125,2012,,Stool,No,China,A metagenome-wide association study of gut microbiota in type 2 diabetes
QinN_2014,PRJEB6337,ERP005860,,,cMD3,237,https://doi.org/10.1038/nature13568,25079328,2014,,Stool,No,China,Alterations of the human gut microbiome in liver cirrhosis
RampelliS_2015,PRJNA278393,SRP056480,,,cMD3,38,https://doi.org/10.1016/j.cub.2015.04.055,25981789,2015,,Stool,No,"Tanzania, Italy",Metagenome Sequencing of the Hadza Hunter-Gatherer Gut Microbiota
RaymondF_2016,PRJEB8094,ERP009131,,,cMD3,72,https://doi.org/10.1038/ismej.2015.148,26359913,2016,,Stool,No,Canada,The initial state of the human gut microbiome determines its reshaping by antibiotics
RosaBA_2018,PRJNA407815,SRP118697,,,cMD3,24,https://doi.org/10.1186/s40168-018-0416-5 ,29486796,2018,,Stool,No,"Indonesia, Liberia",Differential human gut microbiome assemblages during soil-transmitted helminth infections in Indonesia and Liberia
RubelMA_2020,PRJNA547591,SRP201343,,,cMD3,175,https://doi.org/10.1186/s13059-020-02020-4,32450885,2020,,Stool,No,Cameroon,Lifestyle and the presence of helminths is associated with gut microbiome composition in Cameroonians
SankaranarayananK_2015,PRJNA299502,SRP066053,,,cMD3,37,https://doi.org/10.1016/j.cub.2015.10.060,26671671,2015,,Stool,No,USA,Gut microbiome diversity among Cheyenne and Arapaho individuals from western Oklahoma
SchirmerM_2016,PRJNA319574,SRP095580,,,cMD3,471,https://doi.org/10.1016/j.cell.2016.11.046,27984736,2016,,Stool,No,Netherlands,Linking the Human Gut Microbiome to Inflammatory Cytokine Production Capacity
ShaoY_2019,PRJEB32631,ERP115334,,,cMD3,1644,https://doi.org/10.1038/s41586-019-1560-1 ,31534227,2019,,Stool,Yes,UK,Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth
ShiB_2015,PRJNA255922,SRP052958,,,cMD3,48,https://doi.org/10.1128/mBio.01926-14,25691586,2015,,Oral,No,USA,Dynamic changes in the subgingival microbiome and their potential for diagnosis and prognosis of periodontitis
SmitsSA_2017,PRJNA392180,SRP110665,,,cMD3,40,https://doi.org/10.1126/science.aan4834,28839072,2017,,Stool,No,Tanzania,Seasonal cycling in the gut microbiome of the Hadza hunter-gatherers of Tanzania
TettAJ_2016,PRJNA281366,SRP057859,,,cMD3,89,https://doi.org/10.1038/s41522-017-0022-5,28649415,2017,,Skin,No,Italy,Unexplored diversity and strain-level structure of the skin microbiome associated with psoriasis
TettAJ_2019_a,PRJNA529400,SRP189832,,,cMD3,68,https://doi.org/10.1016/j.chom.2019.08.018,31607556,2019,,Stool,No,Tanzania,The Prevotella copri Complex Comprises Four Distinct Clades Underrepresented in Westernized Populations
TettAJ_2019_b,PRJNA529124,SRP189572,,,cMD3,44,https://doi.org/10.1016/j.chom.2019.08.018,31607556,2019,,Stool,No,Ghana,The Prevotella copri Complex Comprises Four Distinct Clades Underrepresented in Westernized Populations
TettAJ_2019_c,PRJNA504891,SRP168387,,,cMD3,50,https://doi.org/10.1016/j.chom.2019.08.018,31607556,2019,,Stool,No,Ethiopia,The Prevotella copri Complex Comprises Four Distinct Clades Underrepresented in Westernized Populations
ThomasAM_2018_a,PRJNA447983,SRP136711,,,cMD3,80,https://doi.org/10.1038/s41591-019-0405-7,30936548,2019,,Stool,No,Italy,Metagenomic analysis of colorectal cancer datasets identifies cross-cohort microbial diagnostic signatures and a link with choline degradation
ThomasAM_2018_b,PRJNA447983,SRP136711,,,cMD3,60,https://doi.org/10.1038/s41591-019-0405-7,30936548,2019,,Stool,No,Italy,Metagenomic analysis of colorectal cancer datasets identifies cross-cohort microbial diagnostic signatures and a link with choline degradation
ThomasAM_2019_c,PRJDB4176,NA,,,cMD3,80,https://doi.org/10.1038/s41591-019-0458-7,31171880,2019,,Stool,No,Japan,Metagenomic and metabolomic analyses reveal distinct stage-specific phenotypes of the gut microbiota in colorectal cancer
VatanenT_2016,PRJNA290380,SRP090628,,,cMD3,785,https://doi.org/10.1016/j.cell.2016.05.056,27259157,2016,,Stool,Yes,"Russia, Estony, Finland",Variation in Microbiome LPS Immunogenicity Contributes to Autoimmunity in Humans
VilaAV_2018,EGAD00001004194,NA,,,cMD3,355,https://doi.org/10.1126/scitranslmed.aap8914,30567928,2018,,Stool,No,Netherlands,"Gut microbiota composition and functional changes in inflammatory bowel disease and irritablebowel syndrome"
VincentC_2016,PRJNA297252,SRP064400,,,cMD3,229,https://doi.org/10.1186/s40168-016-0156-3,26975510,2016,,Stool,No,Canada,Bloom and bust: intestinal microbiota dynamics in response to hospital exposures and Clostridium difficile colonization or infection
VogtmannE_2016,PRJEB12449,ERP013933,,,cMD3,110,https://doi.org/10.1371/journal.pone.0155362,27171425,2016,,Stool,No,USA,Colorectal Cancer and the Human Gut Microbiome: Reproducibility with Whole-Genome Shotgun Sequencing
WampachL_2018,PRJNA379120,SRP107323 ,,,cMD3,63,https://doi.org/10.1038/s41467-018-07631-x ,30504906,2018,,"Stool, Vagina",Yes,Luxemburg,Birth mode is associated with earliest strain-conferred gut microbiome functions and immunostimulatory potential
WirbelJ_2018,PRJEB27928,ERP110064,,,cMD3,125,https://doi.org/10.1038/s41591-019-0406-6 ,30936547,2019,,Stool,No,Germany,Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
XieH_2016,PRJEB9576,ERP010708,,,cMD3,250,https://doi.org/10.1016/j.cels.2016.10.004,27818083,2016,,Stool,No,UK,Shotgun Metagenomics of 250 Adult Twins Reveals Genetic and Environmental Impacts on the Gut Microbiome
YachidaS_2019,PRJDB4176,DRP004793,,,cMD3,616,https://doi.org/10.1038/s41591-019-0458-7 ,31171880,2019,,Stool,No,Japan,Metagenomic and metabolomic analyses reveal distinct stage-specific phenotypes of the gut microbiota in colorectal cancer
YassourM_2016,PRJEB1690,ERP002391,,,cMD3,36,https://doi.org/10.1186/s13073-016-0271-6,26884067,2016,,Stool,No,South-Korea,Sub-clinical detection of gut microbial biomarkers of obesity and type 2 diabetes
YassourM_2018,PRJNA475246,SRP150069,,,cMD3,271,https://doi.org/10.1016/j.chom.2018.06.007,30001517,2018,,Stool,Yes,Finland,Strain-Level Analysis of Mother-to-Child Bacterial Transmission During the First Few Months of Life
YeZ_2018,PRJNA431482,SRP131624,,,cMD3,65,https://doi.org/10.1186/s40168-018-0520-6,30077182,2018,,Stool,No,China,A metagenomic study of the gut microbiome in Bechet's disease
YuJ_2015,PRJEB10878,ERP012177,,,cMD3,128,https://doi.org/10.1136/gutjnl-2015-309800,26408641,2015,,Stool,No,China,Metagenomic analysis of faecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer
ZeeviD_2015,PRJEB11532,ERP012929,,,cMD3,900,https://doi.org/10.1016/j.cell.2015.11.001,26590418,2015,,Stool,No,Israel,Personalized Nutrition by Prediction of Glycemic Responses
ZellerG_2014,PRJEB6070,ERP005534,,,cMD3,156,https://doi.org/10.15252/msb.20145645,25432777,2014,,Stool,No,France,Potential of fecal microbiota for early-stage detection of colorectal cancer
ZhuF_2020,PRJEB29127,ERP111403,,,cMD3,171,https://doi.org/10.1038/s41467-020-15457-9 ,32235826,2020,,Stool,No,China,Metagenome-wide association of gut microbiome features for schizophrenia
DeFilippisF_2019,"PRJNA421881,PRJNA340216","SRP126540,SRP083099",,,cMD3,97,https://doi.org/10.1016/j.chom.2019.01.004,30799264,2019,,Stool,No,Italy,Distinct genetic and functional traits of human intestinal Prevotella copri strains are associated with different habitual diets
NagySzakalD_2017,PRJNA379741,SRP102150,,,cMD3,100,https://doi.org/10.1186/s40168-017-0261-y,28441964,2017,,Stool,No,USA,Fecal metagenomic profiles in subgroups of patients with myalgic encephalomyelitis/chronic fatigue syndrome
LeeKA_2022,PRJEB43119,ERP127050,,,cMD3,165,https://doi.org/10.1038/s41591-022-01695-5 ,35228751,2022,,Stool,No,"UK, Spain, Netherlands",Cross-cohort gut microbiome associations with immune checkpoint inhibitor response in advanced melanoma
FrankelAE_2017,PRJNA397906,SRP115355,,,cMD3,39,https://doi.org/10.1016/j.neo.2017.08.004,28923537,2017,,Stool,No,USA,Metagenomic Shotgun Sequencing and Unbiased Metabolomic Profiling Identify Specific Human Gut Microbiota and Metabolites Associated with Immune Checkpoint Therapy Efficacy in Melanoma Patients
WindTT_2020,NA,NA,,,cMD3,20,https://doi.org/10.1097/CMR.0000000000000656,31990790,2020,,Stool,No,Netherlands,Gut microbial species and metabolic pathways associated with response to treatment with immune checkpoint inhibitors in metastatic melanoma
PetersBA_2019,PRJNA541981,SRP197281,,,cMD3,27,https://doi.org/10.1186/s13073-019-0672-4,31597568,2019,,Stool,No,USA,Relating the gut metagenome and metatranscriptome to immunotherapy responses in melanoma patients
IaniroG_2022,PRJEB47909,ERP132229,,,cMD3,165,https://doi.org/10.1038/s41591-022-01964-3,36109637,2022,,Stool,No,Italy,Variability of strain engraftment and predictability of microbiome composition after fecal microbiota transplantation across different diseases
MetaCardis_2020,"PRJEB41311,PRJEB38742,PRJEB37249","ERP125059,ERP122188,ERP120556",,,cMD3,1831,https://doi.org/10.1038/s41586-021-04177-9,34880489,2020,,Stool,No,"France, Germany, Denmark","Combinatorial, additive and dose-dependent drug–microbiome associations"
HeQ_2017,PRJEB15371,ERP017091,,,cMD3,122,https://doi.org/10.1093/gigascience/gix050,28655159,2017,,Stool,No,China,Two distinct metacommunities characterize the gut microbiota in Crohn's disease patients
BedarfJR_2017,PRJEB17784,ERP019674,,,"cMD3, PD",59,https://doi.org/10.1186/s13073-017-0428-y,28449715,2017,,Stool,No,Germany,Functional implications of microbial and viral gut metagenome changes in early stage L-DOPA-naïve Parkinson’s disease patients
ArtachoA_2021,PRJNA682730,SRP301755,,,cMD4,69,https://onlinelibrary.wiley.com/doi/10.1002/art.41622,33314800,2021,,Stool,No,USA,
BaiX_2021,PRJNA692830,SRP302170,,,cMD4,24,https://www.frontiersin.org/articles/10.3389/fmicb.2021.667718/full#h3,34248876,2021,,Stool,No,Sweden,
BaruchEN_2021,PRJNA678737,SRP292759,,,cMD4,42,https://doi/10.1126/science.abb5920,33303685,2021,,Stool,No,Israel,Fecal microbiota transplant promotes response in immunotherapy-refractory melanoma patients
DavarD_2021,PRJNA672867,SRP292135,,,cMD4,216,https://doi.org/10.1126/science.abf3363 ,33542131,2021,,Stool,No,USA,Fecal microbiota transplant overcomes resistance to anti-PD-1 therapy in melanoma patients
FanY_2023,PRJEB51776,ERP136418,,,cMD4,147,https://www.nature.com/articles/s41564-023-01355-5,37069399,2023,,Stool,No,Denmark,
KartalE_2022,"PRJEB38625, PRJEB42013","ERP122062,  ERP125872",,,cMD4,328,https://doi.org/10.1136/gutjnl-2021-324755,35260444,2022,,"Stool, Oral",No,"Spain, Germany",
McCullochJA_2022,PRJNA762360,SRP339782,,,cMD4,93,https://doi.org/10.1038/s41591-022-01698-2,35228752,2022,,Stool,No,USA,Intestinal microbiota signatures of clinical response and immune-related adverse events in melanoma patients treated with anti-PD-1
NagataN_2022,PRJNA832909,SRP372633,,,cMD4,559,https://doi.org/10.1053/j.gastro.2022.06.070,35228752,2022,,"Stool, Oral",No,Japan,Population-level Metagenomics Uncovers Distinct Effects of Multiple Medications on the Human Gut Microbiome
NayakRR_2021,PRJNA656577,SRP277469,,,cMD4,34,https://www.sciencedirect.com/science/article/pii/S1931312820306703?via%3Dihub,33440172,2021,,Stool,No,USA,
PallejaA_2018,PRJEB20800,ERP022986,,,cMD4,57,https://www.nature.com/articles/s41564-018-0257-9,30349083,2018,,Stool,No,Denmark,
PernigoniN_2021,PRJNA749645,SRP329840,,,cMD4,73,https://doi.org/10.1126/science.abf8403,34618582,2021,,Stool,No,"UK, Switzerland",Commensal bacteria promote endocrine resistance in prostate cancer through androgen biosynthesis
RoutyB_2018,PRJEB22863,ERP104577,,,cMD4,219,https://doi.org/10.1126/science.aan3706,29097494,2018,,Stool,No,France,Gut microbiome influences efficacy of PD-1-based immunotherapy against epithelial tumors
SpencerCN_2021,PRJNA770295,SRP340838,,,cMD4,166,https://doi.org/10.1126/science.aaz7015,34941392,2021,,Stool,No,USA,Dietary fiber and probiotics influence the gut microbiome and melanoma immunotherapy response
Valles-ColomerM_2023_a,PRJEB45799,ERP129957,,,cMD4,27,https://doi.org/10.1038/s41586-022-05620-1,36653448,2023,,Stool,Yes,Argentina,The person-to-person transmission landscape of the gut and oral microbiomes
Valles-ColomerM_2023_b,PRJEB45799,ERP129957,,,cMD4,27,https://doi.org/10.1038/s41586-022-05620-1,36653448,2023,,Stool,Yes,China,The person-to-person transmission landscape of the gut and oral microbiomes
Valles-ColomerM_2023_c,PRJEB45799,ERP129957,,,cMD4,24,https://doi.org/10.1038/s41586-022-05620-1,36653448,2023,,Stool,Yes,Colombia,The person-to-person transmission landscape of the gut and oral microbiomes
Valles-ColomerM_2023_d,PRJEB45799,ERP129957,,,cMD4,342,https://doi.org/10.1038/s41586-022-05620-1,36653448,2023,,Stool,Yes,Guinea Bissau,The person-to-person transmission landscape of the gut and oral microbiomes
Valles-ColomerM_2023_e,PRJEB45799,ERP129957,,,cMD4,104,https://doi.org/10.1038/s41586-022-05620-1,36653448,2023,,Stool,Yes,Italy,The person-to-person transmission landscape of the gut and oral microbiomes
XuQ_2021,"PRJNA613947,PRJNA790003","SRP253963, SRP360848",,,cMD4,347,https://doi.org/10.1038/s43587-022-00193-0,37118062,2021,,Stool,No,China,Metagenomic and metabolomic remodeling in nonagenarians and centenarians and its association with genetic and socioeconomic factors
ZhangX_2015,PRJEB6997,ERP006678,,,cMD4,232,https://www.nature.com/articles/nm.3914,26214836,2015,,Stool,No,China,
ZhouC_2020,PRJEB29373,ERP111669,,,cMD4,130,https://www.sciencedirect.com/science/article/pii/S0896841119306377,31806420,2020,,Stool,No,China,
iMSMS_2022,PRJEB32762 ,ERP115476,,,cMD4,3190,https://www.sciencedirect.com/science/article/pii/S0092867422011151#mmc2,36113426,2022,,Stool,No,"USA, Argentina, UK, Spain",
YeZ_2020,PRJNA356225,SRP095060,,,cMD4,149,https://doi.org/10.1080/19490976.2019.1700754,31928124,2020,,Stool,No,China, Altered gut microbiome composition in patients with Vogt-Koyanagi-Harada disease
BommanasS_2023,PRJNA982400,SRP442578,,,cMD4,350,https://doi.org/10.1128/mbio.03063-23,38117091,2024,,Vagina,No,Fiji,"Unique microbial diversity, community composition, and networks among Pacific Islander endocervical and vaginal microbiomes with and without Chlamydia trachomatis infection in Fiji"
GunjurA_2024,PRJEB49516,ERP134027,,,cMD4,106,https://doi.org/10.1038/s41591-024-02823-z,38429524,2024,,Stool,No,Australia,A gut microbial signature for combination immune checkpoint blockade across cancer types
JacobsonDK_2021,PRJNA690543,SRP300787,,,cMD4,90,https://doi.org/10.1038/s41598-021-81257-w,33462272,2021,,Stool,No,Burkina Faso,Analysis of global human gut metagenomes shows that metabolic resilience potential for short-chain fatty acid production is strongly influenced by lifestyle
AverinaOV_2020,PRJNA516054,SRP182132,,,cMD4,78,"https://doi.org/10.1099/jmm.0.001178 (Averina2020)
https://doi.org/10.3390/life12030367 (Zakharevich2022)",32213246,2020,,Stool,No,Russia,The bacterial neurometabolic signature of the gut microbiota of young children with autism spectrum disorders Free
OsakunorDNM_2020,PRJNA521455,SRP184706,,,cMD4,113,https://doi.org/10.1038%2Fs42003-020-0859-7,32242065,2020,,Stool,No,Zimbabwe,The gut microbiome but not the resistome is associated with urogenital schistosomiasis in preschool-aged children
WibowoMC_2021_a,PRJNA561510,SRP219080,,,cMD4,22,https://doi.org/10.1038/s41586-021-03532-0,33981035,2021,,Stool,No,Mexico,Reconstruction of ancient microbial genomes from the human gut
TeeMZ_2022,PRJNA797994,SRP355415,,,cMD4,650,https://doi.org/10.1038/s41586-021-03532-0,36476263,2022,,Stool,No,Malaysia,Gut microbiome of helminth-infected indigenous Malaysians is context dependent
MejiaR_2020,PRJNA612291,SRP252566,,,cMD4,35,https://doi.org/10.1186%2Fs13071-020-04073-7,32306993,2020,,Stool,No,Argentina,Impact of intestinal parasites on microbiota and cobalamin gene sequences: a pilot study
